,movie_title,release_date,genre,MPAA_rating,director,year,month,day,animated,revenue
228,America's Heart and Soul,7/2/2004,Documentary,Not Rated,Louis Schwartsberg,2004,7,2,NO,"$426,246 "
229,Swing Vote,8/1/2008,Comedy,PG-13,Joshua Michael Stern,2008,8,1,NO,"$19,125,841 "
230,The Straight Story,10/15/1999,Drama,G,David Lynch,1999,10,15,NO,"$10,111,144 "
231,The Kid,7/7/2000,Comedy,PG,NO_DIRECTOR,2000,7,7,NO,"$108,993,148 "
232,Enchanted,11/21/2007,Romantic Comedy,PG,Kevin Lima,2007,11,21,NO,"$156,074,310 "
233,Zootopia,3/4/2016,Adventure,PG,Byron Howard,2016,3,4,NO,"$341,268,248 "
234,I'll Be Home For Christmas,11/13/1998,Comedy,PG,James Brolin,1998,11,13,NO,"$21,941,840 "
235,The War at Home,11/20/1996,NO_GENRE,R,NO_DIRECTOR,1996,11,20,NO,"$65,543 "
236,Peter Pan: Return to Neverland,2/15/2002,Adventure,G,Robin Budd,2002,2,15,NO,"$70,269,715 "
237,Ratatouille,6/29/2007,Comedy,G,Brad Bird,2007,6,29,NO,"$252,955,933 "
238,Secretariat,10/8/2010,Drama,PG,Randall Wallace,2010,10,8,NO,"$63,781,920 "
239,Medicine Man,2/7/1992,Drama,PG-13,John McTiernan,1992,2,7,NO,"$91,304,495 "
240,A Thousand Acres,9/19/1997,Drama,R,Jocelyn Moorhouse,1997,9,19,NO,"$14,561,324 "
241,Mission to Mars,3/10/2000,Adventure,PG,Brian De Palma,2000,3,10,NO,"$95,208,344 "
242,Brother Bear,10/24/2003,Adventure,G,Robert Walker,2003,10,24,NO,"$119,218,333 "
243,Snow White and the Seven Dwarfs,12/21/2037,Musical,G,David Hand,1937,12,21,NO,"$5,228,953,251.00 "
244,Toy Story 3,6/18/2010,Adventure,G,Lee Unkrich,2010,6,18,NO,"$443,408,255 "
245,Miracle,2/6/2004,Drama,PG,NO_DIRECTOR,2004,2,6,NO,"$87,392,478 "
246,My Favorite Martian,2/12/1999,Comedy,PG,NO_DIRECTOR,1999,2,12,YES,"$61,150,849 "
247,Benji the Hunted,6/5/1987,Adventure,G,Joe Camp,1987,6,5,NO,"$32,798,382 "
248,A Far Off Place,3/12/1993,Adventure,PG,Mikael Salomon,1993,3,12,NO,"$26,248,558 "
249,Old Dogs,11/25/2009,Comedy,PG,Walt Becker,2009,11,25,NO,"$55,503,929 "
250,Alice in Wonderland,3/5/2010,Adventure,PG,Clyde Geronimi,2010,3,5,NO,"$357,063,499 "
251,The Little Mermaid,11/15/1989,Adventure,G,Ron Clements,1989,11,15,NO,"$223,726,012 "
