movie_title,release_date,genre,MPAA_rating,directors,revenue
Remember the Titans,29-Sep-00,Drama,PG,Boaz Yakin,"$180,742,479 "
A Lot Like Love,22-Apr-05,Comedy,PG-13,Nigel Cole,"$28,716,947 "
3 Ninjas,7-Aug-92,Action,PG,Jon Turteltaub,"$58,965,304 "
Flight of the Navigator,30-Jul-86,Adventure,PG,Randal Kleiser,"$42,183,197 "
America's Heart and Soul,2-Jul-04,Documentary,Not Rated,Louis Schwartsberg,"$426,246 "
Swing Vote,1-Aug-08,Comedy,PG-13,Joshua Michael Stern,"$19,125,841 "
The Straight Story,15-Oct-99,Drama,G,David Lynch,"$10,111,144 "
The Kid,7-Jul-00,Comedy,PG,Jon Turteltaub,"$108,993,148 "
Enchanted,21-Nov-07,Romantic Comedy,PG,Kevin Lima,"$156,074,310 "
Zootopia,4-Mar-16,Adventure,PG,Byron Howard,"$341,268,248 "
I'll Be Home For Christmas,13-Nov-98,Comedy,PG,James Brolin,"$21,941,840 "
The War at Home,20-Nov-96,Drama,R,Emilio Estevez,"$65,543 "
Peter Pan: Return to Neverland,15-Feb-02,Adventure,G,Robin Budd,"$70,269,715 "
Ratatouille,29-Jun-07,Comedy,G,Brad Bird,"$252,955,933 "
Secretariat,8-Oct-10,Drama,PG,Randall Wallace,"$63,781,920 "
Medicine Man,7-Feb-92,Drama,PG-13,John McTiernan,"$91,304,495 "
A Thousand Acres,19-Sep-97,Drama,R,Jocelyn Moorhouse,"$14,561,324 "
Mission to Mars,10-Mar-00,Adventure,PG,Brian De Palma,"$95,208,344 "
Brother Bear,24-Oct-03,Adventure,G,Robert Walker,"$119,218,333 "
Snow White and the Seven Dwarfs,21-Dec-37,Musical,G,David Hand,"$5,228,953,251.00 "
Toy Story 3,18-Jun-10,Adventure,G,Lee Unkrich,"$443,408,255 "
Miracle,6-Feb-04,Drama,PG,T.C. Christensen,"$87,392,478 "
My Favorite Martian,12-Feb-99,Comedy,PG,Donald Petrie,"$61,150,849 "
Benji the Hunted,5-Jun-87,Adventure,G,Joe Camp,"$32,798,382 "
A Far Off Place,12-Mar-93,Adventure,PG,Mikael Salomon,"$26,248,558 "
Old Dogs,25-Nov-09,Comedy,PG,Walt Becker,"$55,503,929 "
Alice in Wonderland,5-Mar-10,Adventure,PG,Clyde Geronimi,"$357,063,499 "
The Little Mermaid,15-Nov-89,Adventure,G,Ron Clements,"$223,726,012 "
Stick It,28-Apr-06,Comedy,PG-13,Jessica Bendinger,"$34,634,731 "
Funny Bones,31-Mar-95,Comedy,R,Peter Chelsom,"$1,025,425 "
Cars,9-Jun-06,Comedy,G,John Lasseter,"$314,140,384 "
Bicentennial Man,17-Dec-99,Drama,PG,Chris Columbus,"$94,838,225 "
Chimpanzee,20-Apr-12,Documentary,G,Alastair Fothergill,"$30,675,725 "
The Apple Dumpling Gang,1-Jul-75,Comedy,G,Norman Tokar,"$131,246,872 "
The Other Sister,26-Feb-99,Romantic Comedy,PG-13,Garry Marshall,"$46,145,331 "
A Simple Twist of Fate,2-Sep-94,Drama,PG-13,Gillies MacKinnon,"$7,035,189 "
Where the Heart Is,23-Feb-90,Comedy,PG-13,Matt Williams,"$2,210,321 "
Kaze Tachinu,8-Nov-13,Drama,PG-13,Mitsuo Wakasugi,"$5,367,415 "
Off Beat,11-Apr-86,Comedy,PG,Michael Dinner,"$11,003,932 "
The Greatest Game Ever Played,30-Sep-05,Drama,PG,Bill Paxton,"$20,162,672 "
The Three Musketeers,12-Nov-93,Adventure,PG,William Lau,"$109,310,377 "
A Civil Action,25-Dec-98,Drama,PG-13,Steven Zaillian,"$94,139,530 "
Walt and El Grupo,10-Sep-09,Documentary,PG,Theodore Thomas,"$23,064 "
Powder,27-Oct-95,Drama,PG-13,Victor Salva,"$59,727,216 "
1492: Conquest of Paradise,9-Oct-92,Adventure,PG-13,Ridley Scott,"$14,421,454 "
The Cemetery Club,3-Feb-93,Comedy,PG-13,Bill Duke,"$11,369,541 "
Stay Alive,24-Mar-06,Horror,PG-13,William Brent Bell,"$29,712,825 "
That Darn Cat,14-Feb-97,Comedy,PG,Bob Spiers,"$33,613,158 "
The Muppet Christmas Carol,11-Dec-92,Comedy,G,Brian Henson,"$55,417,615 "
Step Up 2 the Streets,14-Feb-08,Drama,PG-13,Jon M. Chu,"$68,118,371 "
Fantasia 2000 (Theatrical Release),16-Jun-00,Musical,G,Unknown,"$14,238,144 "
The Santa Clause 2,1-Nov-02,Comedy,G,Michael Lembeck,"$201,959,095 "
The Recruit,31-Jan-03,Thriller/Suspense,PG-13,Roger Donaldson,"$73,793,522 "
Money for Nothing,10-Sep-93,Comedy,R,Ramón Menéndez,"$2,127,496 "
Bad Company,20-Jan-95,Thriller/Suspense,R,Joel Schumacher,"$6,829,092 "
I Love Trouble,29-Jun-94,Romantic Comedy,PG,Charles Shyer,"$63,651,027 "
The Absent Minded Professor,16-Mar-61,Comedy,G,Robert Stevenson,"$310,094,574 "
Jungle 2 Jungle,7-Mar-97,Comedy,PG,John Pasquin,"$110,058,379 "
Tex,19-Nov-82,Drama,R,Tim Hunter,"$20,643,199 "
Life With Mikey,4-Jun-93,Comedy,PG,James Lapine,"$25,146,538 "
Gone Fishin',30-May-97,Comedy,PG,Christopher Cain,"$36,265,379 "
Rogue One: A Star Wars Story,16-Dec-16,Adventure,PG-13,Gareth Edwards,"$529,483,936 "
The Marrying Man,5-Apr-91,Romantic Comedy,R,Jerry Rees,"$24,939,118 "
Bubble Boy,24-Aug-01,Comedy,PG-13,Blair Hayes,"$7,450,434 "
Baby: Secret of the Lost Legend,22-Mar-85,Adventure,PG,Bill L. Norton,"$33,900,697 "
The Fox and the Hound,10-Jul-81,Comedy,G,Art Stevens,"$133,118,889 "
High Heels and Low Lifes,26-Oct-01,Action,R,Mel Smith,"$337,782 "
The Tie That Binds,8-Sep-95,Thriller/Suspense,R,Wesley Strick,"$11,167,895 "
John Carter,9-Mar-12,Adventure,PG-13,Andrew Stanton,"$77,372,445 "
Blank Check,11-Feb-94,Comedy,PG,Rupert Wainwright,"$63,170,804 "
Guardians of the Galaxy,1-Aug-14,Adventure,PG-13,James Gunn,"$343,771,168 "
Star Wars Ep. VII: The Force Awakens,18-Dec-15,Adventure,PG-13,Unknown,"$936,662,225 "
A Goofy Movie,7-Apr-95,Comedy,G,Kevin Lima,"$68,479,579 "
Hocus Pocus,16-Jul-93,Comedy,PG,Kenny Ortega,"$80,147,079 "
Pete’s Dragon,12-Aug-16,Adventure,PG,David Lowery,"$76,233,151 "
Night Crossing,5-Feb-82,Drama,PG,Delbert Mann,"$12,903,059 "
Lilo & Stitch,21-Jun-02,Adventure,PG,Chris Sanders,"$211,506,702 "
Metro,17-Jan-97,Action,R,Thomas Carter,"$58,804,106 "
National Treasure,19-Nov-04,Adventure,PG,Jon Turteltaub,"$234,069,353 "
Shanghai Noon,26-May-00,Western,PG-13,Tom Dey,"$89,042,541 "
Dangerous Minds,11-Aug-95,Drama,R,John N. Smith,"$164,552,293 "
The Distinguished Gentleman,4-Dec-92,Comedy,R,Jonathan Lynn,"$94,349,900 "
The Secret World of Arietty,17-Feb-12,Adventure,G,Unknown,"$20,325,733 "
The Princess Diaries,3-Aug-01,Comedy,G,Garry Marshall,"$161,218,928 "
Step Up 3D,6-Aug-10,Drama,PG-13,Jon M. Chu,"$45,302,137 "
Underdog,3-Aug-07,Adventure,PG,Jon Erwin,"$53,619,462 "
Red Rock West,28-Jan-94,Crime,R,John Dahl,"$5,170,709 "
Captain America: Civil War,6-May-16,Action,PG-13,Anthony Russo,"$408,084,349 "
Mr. Wrong,16-Feb-96,Romantic Comedy,PG-13,Nick Castle,"$24,422,334 "
Nixon,20-Dec-95,Drama,R,Oliver Stone,"$26,302,005 "
The Ref,9-Mar-94,Comedy,R,Ted Demme,"$23,401,275 "
The Santa Clause 3: The Escape Clause,3-Nov-06,Comedy,G,Michael Lembeck,"$108,694,869 "
Ice Princess,18-Mar-05,Comedy,G,Tim Fywell,"$32,064,685 "
King Arthur,7-Jul-04,Adventure,PG-13,Antoine Fuqua,"$70,423,706 "
Nothing To Lose,18-Jul-97,Comedy,R,Steve Oedekerk,"$81,692,095 "
